	10	6553
	20	2777
	30	2249
	40	1326
	50	1025
	60	1134
	70	1059
	80	923
	90	835
	100	922
	110	934
	120	722
	130	681
	140	732
	150	748
	160	730
	170	704
	180	740
	190	680
	200	687
	210	745
	220	710
	230	720
	240	679
	250	712
	260	764
	270	736
	280	792
	290	780
	300	788
	310	777
	320	787
	330	844
	340	850
	350	859
	360	868
	370	1160
	380	879
	390	914
	400	941
	410	958
	420	970
	430	975
	440	996
	450	1024
	460	1030
	470	1026
	480	1044
	490	1087
	500	1120
	510	1137
	520	1155
	530	1143
	540	1172
	550	1186
	560	1209
	570	1204
	580	1239
	590	1252
	600	1272
	610	1288
	620	1297
	630	1339
	640	1346
	650	1370
	660	1383
	670	1406
	680	1423
	690	1439
	700	1441
	710	1487
	720	1501
	730	1528
	740	1548
	750	1542
	760	1581
	770	1589
	780	1637
	790	1651
	800	1674
	810	1694
	820	1694
	830	1744
	840	1757
	850	1776
	860	1811
	870	1850
	880	1857
	890	1882
	900	1906
	910	1931
	920	1940
	930	1969
	940	1998
	950	2015
	960	2034
	970	2060
	980	2090
	990	2113
	1000	2130
	1010	2170
	1020	2185
	1030	2260
	1040	2225
	1050	2243
	1060	2254
	1070	2292
	1080	2309
	1090	2325
	1100	2368
	1110	2380
	1120	2396
	1130	2446
	1140	2461
	1150	2499
	1160	2508
	1170	2532
	1180	2564
	1190	2588
	1200	2604
	1210	2624
	1220	2636
	1230	2664
	1240	2691
	1250	2734
	1260	2750
	1270	2780
	1280	2799
	1290	2819
	1300	2850
	1310	2896
	1320	2890
	1330	2922
	1340	2959
	1350	2987
	1360	3007
	1370	3028
	1380	3036
	1390	3079
	1400	3091
	1410	3106
	1420	3142
	1430	3181
	1440	3180
	1450	3217
	1460	3243
	1470	3266
	1480	3320
	1490	3302
	1500	3335
	1510	3367
	1520	3380
	1530	3516
	1540	3438
	1550	3464
	1560	3492
	1570	3514
	1580	3542
	1590	3562
	1600	3587
	1610	3610
	1620	3631
	1630	3699
	1640	3683
	1650	3707
	1660	3724
	1670	3761
	1680	3930
	1690	3810
	1700	3843
	1710	3878
	1720	3885
	1730	3981
	1740	3945
	1750	3969
	1760	3973
	1770	4016
	1780	4056
	1790	4077
	1800	4077
	1810	4121
	1820	4154
	1830	4174
	1840	4191
	1850	4211
	1860	4245
	1870	4262
	1880	4288
	1890	4326
	1900	4344
	1910	4374
	1920	4393
	1930	4416
	1940	4441
	1950	4483
	1960	4492
	1970	4518
	1980	4543
	1990	4575
	2000	4604
	2010	4613
	2020	4630
	2030	4668
	2040	4685
	2050	4709
	2060	4735
	2070	4761
	2080	4786
	2090	4817
	2100	4847
	2110	4876
	2120	4889
	2130	4916
	2140	4936
	2150	4995
	2160	4991
	2170	5009
	2180	5036
	2190	5072
	2200	5098
	2210	5127
	2220	5154
	2230	5169
	2240	5179
	2250	5206
	2260	5233
	2270	5255
	2280	5279
	2290	5315
	2300	5329
	2310	5360
	2320	5375
	2330	5410
	2340	5434
	2350	5551
	2360	5636
	2370	5506
	2380	5531
	2390	5597
	2400	5687
	2410	5602
	2420	5686
	2430	5791
	2440	5679
	2450	5706
	2460	5717
	2470	5779
	2480	5793
	2490	5810
	2500	5853
	2510	5860
	2520	5875
	2530	5904
	2540	5927
