	1.00	1140	1130	1113
	20.00		480	3060
	10.00		24693	31007
	6.66		17123	26048
	5.00		14968	29001
	4.00		13330	23104
	3.33		12001	10501
	2.85		11723	1012
	2.50		8940	10190
	2.22		7434	18893
	2.00		8671	11071
	1.81		8683	10763
	1.66		8640	14787
	1.53		8643	16576
	1.42		8677	15449
	1.33		8768	23227
	1.25		8631	16483
	1.17		8801	12928
	1.11		8686	25716
	1.05		8733	15624
	1.00		8668	15414
	.95		8749	14476
	.90		8804	32799
	.86		8625	-14
	.83		9075	11337
	.80		9000	26180
	.76		8738	26454
	.74		8694	15675
	.71		8565	26978
	.68		8631	16328
	.66		8560	11107
	.64		8812	18080
	.62		8697	30965
	.60		8760	4011
	.58		8713	29356
	.57		8650	25532
	.55		8684	11090
	.54		8797	15974
	.52		8734	11053
	.51		8655	22902
	.50		8718	25666
